hs6,chapter,heading,description
620439,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - jackets and blazers : -- of other textile materials"
620441,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of wool or fine animal hair"
620442,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of cotton"
620443,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of synthetic fibres"
620444,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of artificial fibres"
620449,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - dresses : -- of other textile materials"
620451,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - skirts and divided skirts : -- of wool or fine animal hair"
620452,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - skirts and divided skirts : -- of cotton"
620453,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - skirts and divided skirts : -- of synthetic fibres"
620459,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - skirts and divided skirts : -- of other textile materials"
620461,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of wool or fine animal hair"
620462,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of cotton"
620463,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of synthetic fibres"
620469,62,6204,"womens or girls suits, ensembles, jackets, blazers, dresses, skirts, divided skirts, trousers, bib and brace overalls, breeches and shorts (other than swimwear). - trousers, bib and brace overalls, breeches and shorts : -- of other textile materials"
620520,62,6205,mens or boys shirts. - of cotton
620530,62,6205,mens or boys shirts. - of man-made fibres
620590,62,6205,mens or boys shirts. - of other textile materials
620610,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of silk or silk waste"
620620,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of wool or fine animal hair"
620630,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of cotton"
620640,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of man-made fibres"
620690,62,6206,"womens or girls blouses, shirts and shirt-blouses. - of other textile materials"
620711,62,6207,"mens or boys singlets and other vests, underpants, briefs, nightshirts, pyjamas, bathrobes, dressing gowns and similar articles. - underpants and briefs : -- of cotton"
